Name,Size,Location
State Farm Arena,"18,118","Atlanta, GA"
TD Garden,"18,624","Boston, MA"
Barclays Center,"17,732","Brooklyn, NY"
Spectrum Center,"19,077","Charlotte, NC"
United Center,"20,917","Chicago, IL"
Rocket Mortgage FieldHouse,"19,432","Cleveland, OH"
American Airlines Center,"19,200","Dallas, TX"
Little Caesars Arena,"20,491","Detroit, MI"
Chase Center,"18,064","San Francisco, CA"
Toyota Center,"18,500","Houston, TX"
Gainbridge Fieldhouse,"20,000","Indianapolis, IN"
FedExForum,"18,119","Memphis, TN"
Kaseya Center,"19,600","Miami, FL"
Fiserv Forum,"17,500","Milwaukee, WI"
Target Center,"19,356","Minneapolis, MN"
Smoothie King Center,"16,867","New Orleans, LA"
Madison Square Garden,"19,812","New York, NY"
Paycom Center,"18,203","Oklahoma City, OK"
Kia Center,"18,846","Orlando, FL"
Wells Fargo Center,"20,478","Philadelphia, PA"
Footprint Center,"18,422","Phoenix, AZ"
Moda Center,"19,393","Portland, OR"
Golden 1 Center,"17,608","Sacramento, CA"
Frost Bank Center,"18,581","San Antonio, TX"
Scotiabank Arena,"19,800","Toronto, ON"
Delta Center,"18,206","Salt Lake City, UT"
Capital One Arena,"20,356","Washington, DC"
State Farm Stadium,"63,400","Glendale, AZ"
Mercedes-Benz Stadium,"71,000","Atlanta, GA"
M&T Bank Stadium,"71,008","Baltimore, MD"
Highmark Stadium,"71,608","Orchard Park, NY"
Bank of America Stadium,"74,867","Charlotte, NC"
Soldier Field,"61,500","Chicago, IL"
Paycor Stadium,"65,515","Cincinnati, OH"
Cleveland Browns Stadium,"67,895","Cleveland, OH"
AT&T Stadium,"80,000","Arlington, TX"
Empower Field at Mile High,"76,125","Denver, CO"
Ford Field,"65,000","Detroit, MI"
Lambeau Field,"81,441","Green Bay, WI"
NRG Stadium,"72,220","Houston, TX"
Lucas Oil Stadium,"67,000","Indianapolis, IN"
TIAA Bank Field,"67,814","Jacksonville, FL"
GEHA Field at Arrowhead Stadium,"76,416","Kansas City, MO"
Allegiant Stadium,"65,000","Las Vegas, NV"
SoFi Stadium,"70,240","Inglewood, CA"
Hard Rock Stadium,"65,326","Miami Gardens, FL"
U.S. Bank Stadium,"66,655","Minneapolis, MN"
Gillette Stadium,"66,829","Foxborough, MA"
Caesars Superdome,"73,208","New Orleans, LA"
MetLife Stadium,"82,500","East Rutherford, NJ"
