Team,ID,Location,Championships,League,Conference,Founded,Revenue,Colors,Attendance,Ticket,Stadium
Atlanta Hawks,000,"Atlanta, GA",1,NBA,Eastern Conference,1946,326,"Red, Black",17555,204.26,State Farm Arena
Boston Celtics,001,"Boston, MA",17,NBA,Eastern Conference,1949,443,"Green, White",19156,536.69,TD Garden
Brooklyn Nets,002,"Brooklyn, NY",0,NBA,Eastern Conference,1967,367,"Black, White",17669,461.59,Barclays Center
Charlotte Hornets,003,"Charlotte, NC",0,NBA,Eastern Conference,1988,269,"Teal, Purple",17123,158.72,Spectrum Center
Chicago Bulls,004,"Chicago, IL",6,NBA,Eastern Conference,1966,372,"Red, Black",20527,412.0,United Center
Cleveland Cavaliers,005,"Cleveland, OH",1,NBA,Eastern Conference,1970,348,"Wine, Gold",19432,217.05,Rocket Mortgage FieldHouse
Dallas Mavericks,006,"Dallas, TX",1,NBA,Western Conference,1980,429,"Navy Blue, Silver",20177,269.41,American Airlines Center
Denver Nuggets,007,"Denver, CO",1,NBA,Western Conference,1967,348,"Navy, Gold",19235,247.85,Ball Arena
Detroit Pistons,008,"Detroit, MI",3,NBA,Eastern Conference,1948,274,"Royal Blue, Red",18529,189.54,Little Caesars Arena
Golden State Warriors,009,"San Francisco, CA",7,NBA,Western Conference,1946,765,"Royal Blue, Gold",18064,608.39,Chase Center
Houston Rockets,010,"Houston, TX",2,NBA,Western Conference,1967,381,"Red, Silver",16313,190.22,Toyota Center
Indiana Pacers,011,"Indianapolis, IN",0,NBA,Eastern Conference,1967,263,"Navy Blue, Gold",15647,163.45,Gainbridge Fieldhouse
LA Clippers,012,"Los Angeles, CA",0,NBA,Western Conference,1970,425,"Red, Blue",17574,295.89,Crypto.com Arena
Los Angeles Lakers,013,"Los Angeles, CA",18,NBA,Western Conference,1947,516,"Purple, Gold",18613,506.05,Crypto.com Arena
Memphis Grizzlies,014,"Memphis, TN",0,NBA,Western Conference,1995,258,"Navy Blue, Light Blue",17264,264.11,FedExForum
Miami Heat,015,"Miami, FL",3,NBA,Eastern Conference,1988,371,"Red, Black",19687,319.09,Kaseya Center
Milwaukee Bucks,016,"Milwaukee, WI",2,NBA,Eastern Conference,1968,329,"Green, Cream",17531,355.9,Fiserv Forum
Minnesota Timberwolves,017,"Minneapolis, MN",0,NBA,Western Conference,1989,259,"Navy Blue, Green",16768,336.84,Target Center
New Orleans Pelicans,018,"New Orleans, LA",0,NBA,Western Conference,2002,262,"Navy, Gold",16772,195.78,Smoothie King Center
New York Knicks,019,"New York, NY",2,NBA,Eastern Conference,1946,504,"Blue, Orange",19392,745.18,Madison Square Garden
