,Name,Size,Location
0,State Farm Arena,"18,118","Atlanta, GA"
1,TD Garden,"18,624","Boston, MA"
2,Barclays Center,"17,732","Brooklyn, NY"
3,Spectrum Center,"19,077","Charlotte, NC"
4,United Center,"20,917","Chicago, IL"
5,Rocket Mortgage FieldHouse,"19,432","Cleveland, OH"
6,American Airlines Center,"19,200","Dallas, TX"
8,Little Caesars Arena,"20,491","Detroit, MI"
9,Chase Center,"18,064","San Francisco, CA"
10,Toyota Center,"18,500","Houston, TX"
11,Gainbridge Fieldhouse,"20,000","Indianapolis, IN"
14,FedExForum,"18,119","Memphis, TN"
15,Kaseya Center,"19,600","Miami, FL"
16,Fiserv Forum,"17,500","Milwaukee, WI"
17,Target Center,"19,356","Minneapolis, MN"
18,Smoothie King Center,"16,867","New Orleans, LA"
19,Madison Square Garden,"19,812","New York, NY"
20,Paycom Center,"18,203","Oklahoma City, OK"
21,Kia Center,"18,846","Orlando, FL"
22,Wells Fargo Center,"20,478","Philadelphia, PA"
23,Footprint Center,"18,422","Phoenix, AZ"
24,Moda Center,"19,393","Portland, OR"
25,Golden 1 Center,"17,608","Sacramento, CA"
26,Frost Bank Center,"18,581","San Antonio, TX"
27,Scotiabank Arena,"19,800","Toronto, ON"
28,Delta Center,"18,206","Salt Lake City, UT"
29,Capital One Arena,"20,356","Washington, DC"
0,State Farm Stadium,"63,400","Glendale, AZ"
1,Mercedes-Benz Stadium,"71,000","Atlanta, GA"
2,M&T Bank Stadium,"71,008","Baltimore, MD"
3,Highmark Stadium,"71,608","Orchard Park, NY"
4,Bank of America Stadium,"74,867","Charlotte, NC"
5,Soldier Field,"61,500","Chicago, IL"
6,Paycor Stadium,"65,515","Cincinnati, OH"
7,Cleveland Browns Stadium,"67,895","Cleveland, OH"
8,AT&T Stadium,"80,000","Arlington, TX"
9,Empower Field at Mile High,"76,125","Denver, CO"
10,Ford Field,"65,000","Detroit, MI"
11,Lambeau Field,"81,441","Green Bay, WI"
12,NRG Stadium,"72,220","Houston, TX"
13,Lucas Oil Stadium,"67,000","Indianapolis, IN"
14,TIAA Bank Field,"67,814","Jacksonville, FL"
15,GEHA Field at Arrowhead Stadium,"76,416","Kansas City, MO"
16,Allegiant Stadium,"65,000","Las Vegas, NV"
17,SoFi Stadium,"70,240","Inglewood, CA"
19,Hard Rock Stadium,"65,326","Miami Gardens, FL"
20,U.S. Bank Stadium,"66,655","Minneapolis, MN"
21,Gillette Stadium,"66,829","Foxborough, MA"
