Team,ID,Location,Championshsips,League,Conference,Founded,Revenue,Colors,Attendance,Ticket,Stadium
Atlanta Hawks,0.0,"Atlanta, GA",1.0,NBA,EASTERN CONFERENCE,1946,326.0,"Red, Black",17555,204.26,State Farm Arena
Boston Celtics,1.0,"Boston, MA",17.0,NBA,EASTERN CONFERENCE,1949,443.0,"Green, White",19156,536.69,TD Garden
Brooklyn Nets,2.0,"Brooklyn, NY",0.0,NBA,EASTERN CONFERENCE,1967,367.0,"Black, White",17669,461.59,Barclays Center
Charlotte Hornets,3.0,"Charlotte, NC",0.0,NBA,EASTERN CONFERENCE,1988,269.0,"Teal, Purple",17123,158.72,Spectrum Center
Chicago Bulls,4.0,"Chicago, IL",6.0,NBA,EASTERN CONFERENCE,1966,372.0,"Red, Black",20527,412.0,United Center
Cleveland Cavaliers,5.0,"Cleveland, OH",1.0,NBA,EASTERN CONFERENCE,1970,348.0,"Wine, Gold",19432,217.05,Rocket Mortgage FieldHouse
Dallas Mavericks,6.0,"Dallas, TX",1.0,NBA,WESTERN CONFERENCE,1980,429.0,"Navy Blue, Silver",20177,269.41,American Airlines Center
Denver Nuggets,7.0,"Denver, CO",1.0,NBA,WESTERN CONFERENCE,1967,348.0,"Navy, Gold",19235,247.85,Ball Arena
Detroit Pistons,8.0,"Detroit, MI",3.0,NBA,EASTERN CONFERENCE,1948,274.0,"Royal Blue, Red",18529,189.54,Little Caesars Arena
Golden State Warriors,9.0,"San Francisco, CA",7.0,NBA,WESTERN CONFERENCE,1946,765.0,"Royal Blue, Gold",18064,608.39,Chase Center
Houston Rockets,10.0,"Houston, TX",2.0,NBA,WESTERN CONFERENCE,1967,381.0,"Red, Silver",16313,190.22,Toyota Center
Indiana Pacers,11.0,"Indianapolis, IN",0.0,NBA,EASTERN CONFERENCE,1967,263.0,"Navy Blue, Gold",15647,163.45,Gainbridge Fieldhouse
LA Clippers,12.0,"Los Angeles, CA",0.0,NBA,WESTERN CONFERENCE,1970,425.0,"Red, Blue",17574,295.89,Crypto.com Arena
Los Angeles Lakers,13.0,"Los Angeles, CA",18.0,NBA,WESTERN CONFERENCE,1947,516.0,"Purple, Gold",18613,506.05,Crypto.com Arena
Memphis Grizzlies,14.0,"Memphis, TN",0.0,NBA,WESTERN CONFERENCE,1995,258.0,"Navy Blue, Light Blue",17264,264.11,FedExForum
Miami Heat,15.0,"Miami, FL",3.0,NBA,EASTERN CONFERENCE,1988,371.0,"Red, Black",19687,319.09,Kaseya Center
Milwaukee Bucks,16.0,"Milwaukee, WI",2.0,NBA,EASTERN CONFERENCE,1968,329.0,"Green, Cream",17531,355.9,Fiserv Forum
Minnesota Timberwolves,17.0,"Minneapolis, MN",0.0,NBA,WESTERN CONFERENCE,1989,259.0,"Navy Blue, Green",16768,336.84,Target Center
New Orleans Pelicans,18.0,"New Orleans, LA",0.0,NBA,WESTERN CONFERENCE,2002,262.0,"Navy, Gold",16772,195.78,Smoothie King Center
New York Knicks,19.0,"New York, NY",2.0,NBA,EASTERN CONFERENCE,1946,504.0,"Blue, Orange",19392,745.18,Madison Square Garden
Oklahoma City Thunder,20.0,"Oklahoma City, OK",1.0,NBA,WESTERN CONFERENCE,1967,267.0,"Blue, Orange",15534,188.38,Paycom Center
Orlando Magic,21.0,"Orlando, FL",0.0,NBA,EASTERN CONFERENCE,1989,261.0,"Blue, Black",17765,235.3,Kia Center
Philadelphia 76ers,22.0,"Philadelphia, PA",3.0,NBA,EASTERN CONFERENCE,1946,371.0,"Blue, Red",20469,291.96,Wells Fargo Center
Phoenix Suns,23.0,"Phoenix, AZ",0.0,NBA,WESTERN CONFERENCE,1968,366.0,"Purple, Orange",17071,343.22,Footprint Center
Portland Trail Blazers,24.0,"Portland, OR",1.0,NBA,WESTERN CONFERENCE,1970,300.0,"Black, Red",18716,191.52,Moda Center
Sacramento Kings,25.0,"Sacramento, CA",0.0,NBA,WESTERN CONFERENCE,1948,289.0,"Purple, Silver",17451,240.32,Golden 1 Center
San Antonio Spurs,26.0,"San Antonio, TX",5.0,NBA,WESTERN CONFERENCE,1967,319.0,"Black, Silver",16937,208.5,Frost Bank Center
Toronto Raptors,27.0,"Toronto, ON",1.0,NBA,EASTERN CONFERENCE,1995,305.0,"Red, Black",19786,361.59,Scotiabank Arena
Utah Jazz,28.0,"Salt Lake City, UT",0.0,NBA,WESTERN CONFERENCE,1974,274.0,"Navy Blue, Green",18206,177.75,Delta Center
Washington Wizards,29.0,"Washington, DC",1.0,NBA,EASTERN CONFERENCE,1961,323.0,"Navy, Red",17328,222.82,Capital One Arena
Arizona Cardinals,30.0,"Glendale, AZ",0.0,NFL,NFC,1898,500.0,"Cardinal Red, Black",62864,98.54,State Farm Stadium
Atlanta Falcons,31.0,"Atlanta, GA",0.0,NFL,NFC,1965,544.0,"Black, Red",69603,111.54,Mercedes-Benz Stadium
Baltimore Ravens,32.0,"Baltimore, MD",2.0,NFL,AFC,1996,544.0,"Purple, Black",70597,120.27,M&T Bank Stadium
Buffalo Bills,33.0,"Orchard Park, NY",0.0,NFL,AFC,1959,503.0,"Royal Blue, Red",69609,101.64,Highmark Stadium
Carolina Panthers,34.0,"Charlotte, NC",0.0,NFL,NFC,1993,530.0,"Black, Blue",71635,115.45,Bank of America Stadium
Chicago Bears,35.0,"Chicago, IL",1.0,NFL,NFC,1920,556.0,"Navy Blue, Orange",61769,130.29,Soldier Field
Cincinnati Bengals,36.0,"Cincinnati, OH",0.0,NFL,AFC,1968,498.0,"Black, Orange",66040,101.78,Paycor Stadium
Cleveland Browns,37.0,"Cleveland, OH",0.0,NFL,AFC,1944,545.0,"Brown, Orange",67810,122.18,Cleveland Browns Stadium
Dallas Cowboys,38.0,"Arlington, TX",5.0,NFL,NFC,1960,1140.0,"Navy Blue, Silver",93594,116.69,AT&T Stadium
Denver Broncos,39.0,"Denver, CO",3.0,NFL,AFC,1959,563.0,"Orange, Navy Blue",76388,131.91,Empower Field at Mile High
Detroit Lions,40.0,"Detroit, MI",0.0,NFL,NFC,1930,495.0,"Honolulu Blue, Silver",64850,107.31,Ford Field
Green Bay Packers,41.0,"Green Bay, WI",4.0,NFL,NFC,1919,577.0,"Green, Gold",77829,141.48,Lambeau Field
Houston Texans,42.0,"Houston, TX",0.0,NFL,AFC,1999,605.0,"Deep Steel Blue, Battle Red",71193,117.45,NRG Stadium
Indianapolis Colts,43.0,"Indianapolis, IN",2.0,NFL,AFC,1953,545.0,"Royal Blue, White",65230,107.0,Lucas Oil Stadium
Jacksonville Jaguars,44.0,"Jacksonville, FL",0.0,NFL,AFC,1993,517.0,"Teal, Black",69031,102.22,TIAA Bank Field
Kansas City Chiefs,45.0,"Kansas City, MO",4.0,NFL,AFC,1959,540.0,"Red, Gold",70968,131.81,GEHA Field at Arrowhead Stadium
Las Vegas Raiders,46.0,"Las Vegas, NV",3.0,NFL,AFC,1960,729.0,"Silver, Black",62190,168.83,Allegiant Stadium
Los Angeles Chargers,47.0,"Inglewood, CA",0.0,NFL,AFC,1959,518.0,"Powder Blue, Gold",73150,106.23,SoFi Stadium
Los Angeles Rams,48.0,"Inglewood, CA",2.0,NFL,NFC,1936,686.0,"Royal Blue, Yellow",69736,103.9,SoFi Stadium
